,Grupo,Nome,Alimento,Porcao,Medida Caseira
1,Outros,Açúcares,Açúcar branco,15,1 colher de sobremesa de açucar
2,Gorduras,Azeitona e Abacate,"Abacate, Hass",25,1 colher de sopa
5,Hidratos I,Bebida de soja,"Bebida à base de soja com açúcar, sal e aromas",240,1 caneca
9,Hidratos II,Bolacha,"Bolacha ""Cream cracker""",20,4 bolachas
10,Hidratos II,Bolacha,Bolacha água e sal,20,8 bolachas
12,Hidratos II,Bolacha,Bolacha integral (trigo),20,3 bolachas
13,Hidratos II,Bolacha,Bolacha Maria,20,4 bolachas
15,Hidratos II,Bolacha,Marinheiras,20,4 bolachas
16,Hidratos II,Bolacha de Milho ou Arroz,Bolacha arroz,20,3 bolachas
17,Hidratos II,Bolacha de Milho ou Arroz,Bolacha milho,20,3 bolachas
18,Proteínas,Carne e Peixe,Bacalhau cozido,30,30 gramas
21,Proteínas,Carne e Peixe,Bife de porco grelhado,30,30 gramas
22,Proteínas,Carne e Peixe,"Bife de vaca (valor médio de acém, alcatra e lombo) grelhado",30,30 gramas
23,Proteínas,Carne e Peixe,Cantarilho (Redfish) cozido,30,30 gramas
29,Proteínas,Carne e Peixe,Costeleta de cabrito grelhada,30,30 gramas
31,Proteínas,Carne e Peixe,Costeleta de vitela grelhada,30,30 gramas
35,Proteínas,Carne e Peixe,Dourada grelhada,30,30 gramas
41,Proteínas,Carne e Peixe,"Frango inteiro sem pele, cozido",30,30 gramas
42,Proteínas,Carne e Peixe,"Frango inteiro sem pele, estufado sem molho",30,30 gramas
44,Proteínas,Carne e Peixe,Garoupa cozida,30,30 gramas
50,Proteínas,Carne e Peixe,Linguado grelhado,30,30 gramas
51,Proteínas,Carne e Peixe,Lombo de porco grelhado,30,30 gramas
52,Proteínas,Carne e Peixe,Lombo de vitela grelhado,30,30 gramas
53,Proteínas,Carne e Peixe,Maruca cozida,30,30 gramas
58,Proteínas,Carne e Peixe,Peito de cabrito grelhado,30,30 gramas
67,Proteínas,Carne e Peixe,"Perna de frango sem pele, cozida",30,30 gramas
69,Proteínas,Carne e Peixe,Pescada cozida (valor médio),30,30 gramas
78,Hidratos II,Cereais e granola,"Cereal de pequeno almoço à base de farelo de trigo (tipo ""All-Bran"")",40,3/4 de uma chávena de chá
79,Hidratos II,Cereais e granola,"Cereal de pequeno almoço de trigo integral tipo ""Weetabix""",20,"1 ""biscoito"""
81,Hidratos II,Cereais e granola,Flocos de aveia,20,2 colheres de sopa rasas
83,Hidratos II,Cereais e granola,"Flocos de cereais e frutos secos tipo ""Muesli""",20,2 colheres de sopa rasas
89,Outros,Claras,"Clara de ovo de galinha, crua",55,55 gramas
91,Outros,Compotas,Compota de ameixa,5,1 colher de chá
97,Outros,Farinhas,Farinha de aveia,20,"2,5 colheres de sopa rasas"
98,Outros,Farinhas,Farinha de centeio,20,"2,5 colheres de sopa rasas"
104,Outros,Farinhas,Farinha de trigo integral,20,"2,5 colheres de sopa rasas"
106,Outros,Farinhas,Farinha de trigo tipo 55,20,"2,5 colheres de sopa rasas"
